State,Action,Value
"(7, 1)","(6, 1)",-7.620979286797862
"(7, 2)","(7, 1)",-7.537848242021694
"(7, 2)","(6, 2)",-7.485356838302552
"(7, 3)","(7, 4)",-7.00991971350604
"(7, 3)","(6, 3)",-7.038651736300725
"(7, 3)","(8, 3)",-7.019899592345515
"(7, 4)","(7, 3)",-6.828406011141245
"(7, 4)","(6, 4)",-6.804256723581192
"(7, 4)","(8, 4)",-6.808758957769624
"(7, 5)","(8, 5)",-6.943273088441533
"(7, 6)","(6, 6)",-5.960022127184414
"(7, 6)","(8, 6)",-5.215622015238559
"(7, 7)","(7, 8)",-4.684738316828654
"(7, 7)","(6, 7)",-5.186156043208738
"(7, 7)","(8, 7)",-4.6848142540288755
"(7, 8)","(7, 9)",-4.094927739605174
"(7, 8)","(7, 7)",-4.884844575037101
"(7, 9)","(7, 8)",-3.875882160072512
"(7, 9)","(8, 9)",-3.4389916828329
"(7, 10)","(6, 10)",-3.8758485197424757
"(7, 10)","(8, 10)",-2.7099988678175135
"(8, 1)","(8, 2)",-6.9280902406638445
"(8, 1)","(9, 1)",-6.933031880676501
"(8, 2)","(8, 3)",-6.968390102824044
"(8, 2)","(8, 1)",-6.934095712289442
"(8, 2)","(9, 2)",-6.953604865092006
"(8, 3)","(8, 2)",-6.984255502038109
"(8, 3)","(7, 3)",-7.00533401358177
"(8, 4)","(7, 4)",-6.848682777903509
"(8, 4)","(9, 4)",-6.846019437118478
"(8, 5)","(7, 5)",-6.936741010716821
"(8, 5)","(9, 5)",-6.944542433305188
"(8, 6)","(8, 7)",-4.684713645087004
"(8, 6)","(7, 6)",-5.308830483040694
"(8, 6)","(9, 6)",-4.684712662788141
"(8, 7)","(8, 8)",-4.095098305462162
"(8, 7)","(8, 6)",-4.591612523825261
"(8, 7)","(7, 7)",-4.620632131246481
"(8, 8)","(8, 9)",-3.438999938544232
"(8, 8)","(8, 7)",-4.248598593041851
"(8, 9)","(8, 10)",-2.709999999999817
"(8, 9)","(8, 8)",-3.8588874934753727
"(8, 9)","(7, 9)",-3.8015608053586583
"(8, 10)","(8, 9)",-3.409590256985371
"(8, 10)","(7, 10)",-3.401848946109133
"(8, 10)","(9, 10)",-1.8999999999999986
"(9, 1)","(8, 1)",-6.925866550766889
"(9, 1)","(10, 1)",-6.927423453042501
"(9, 2)","(9, 3)",-6.921094912769167
"(9, 2)","(8, 2)",-6.940892832236195
"(9, 2)","(10, 2)",-6.905985091434622
"(9, 3)","(9, 4)",-6.863272379583497
"(9, 3)","(9, 2)",-6.893421975730136
"(9, 4)","(9, 3)",-6.826625355028655
"(9, 4)","(8, 4)",-6.880421845102596
"(9, 5)","(8, 5)",-6.929087164282998
"(9, 5)","(10, 5)",-6.94368480767311
"(9, 6)","(9, 7)",-4.094797985471122
"(9, 6)","(8, 6)",-4.923977584670893
"(9, 7)","(9, 8)",-3.4389417162992464
"(9, 7)","(9, 6)",-4.229230264877733
"(9, 8)","(9, 7)",-3.9099827738464654
"(9, 8)","(10, 8)",-2.7099805226046256
"(9, 9)","(9, 10)",-1.8636536326519013
"(9, 10)","(9, 9)",-2.530639300549227
"(9, 10)","(8, 10)",-2.6290325458569384
"(9, 10)","(10, 10)",-0.9999999999999996
"(10, 1)","(10, 2)",-6.927710884058756
"(10, 1)","(9, 1)",-6.9243051996604095
"(10, 2)","(10, 3)",-6.9249545789057825
"(10, 2)","(10, 1)",-6.9223815334834295
"(10, 2)","(9, 2)",-6.9257713683913815
"(10, 3)","(10, 4)",-6.920174989351559
"(10, 3)","(10, 2)",-6.939306932866571
"(10, 4)","(10, 5)",-6.917109175784481
"(10, 4)","(10, 3)",-6.934233372254174
"(10, 5)","(10, 6)",-6.920670664382074
"(10, 5)","(10, 4)",-6.93653460375472
"(10, 5)","(9, 5)",-6.928904680412317
"(10, 6)","(10, 7)",-6.9134003457358215
"(10, 6)","(10, 5)",-6.929749386448744
"(10, 7)","(10, 6)",-6.920140362628677
"(10, 8)","(10, 9)",-1.8999970667181685
"(10, 8)","(9, 8)",-3.1207270263390448
"(10, 9)","(10, 10)",-0.9999995637767469
"(10, 9)","(10, 8)",-2.3987273432200085
"(10, 10)","(10, 9)",0
"(10, 10)","(9, 10)",0
